day,date,negative,new_diagnoses,new_deaths,new_tests,test_yield
33,2020-02-29,9.0,16.0,1.0,25.0,0.64
34,2020-03-01,32.0,12.0,3.0,44.0,0.2727272727272727
35,2020-03-02,81.0,19.0,2.0,100.0,0.19
36,2020-03-03,105.0,15.0,3.0,120.0,0.125
37,2020-03-04,122.0,25.0,4.0,147.0,0.17006802721088435
38,2020-03-05,167.0,38.0,5.0,205.0,0.18536585365853658
39,2020-03-06,187.0,25.0,7.0,212.0,0.1179245283018868
40,2020-03-07,147.0,21.0,0.0,168.0,0.125
41,2020-03-08,170.0,43.0,5.0,213.0,0.20187793427230047
42,2020-03-09,380.0,36.0,3.0,416.0,0.08653846153846154
43,2020-03-10,664.0,71.0,2.0,735.0,0.09659863945578231
44,2020-03-11,739.0,62.0,2.0,801.0,0.07740324594257178
45,2020-03-12,1105.0,99.0,4.0,1204.0,0.08222591362126246
46,2020-03-13,1247.0,122.0,3.0,1369.0,0.08911614317019723
47,2020-03-14,699.0,76.0,4.0,775.0,0.09806451612903226
48,2020-03-15,399.0,46.0,3.0,445.0,0.10337078651685393
49,2020-03-16,1371.0,135.0,6.0,1506.0,0.08964143426294821
50,2020-03-17,1214.0,119.0,7.0,1333.0,0.08927231807951988
51,2020-03-18,1344.0,147.0,4.0,1491.0,0.09859154929577464
52,2020-03-19,1248.0,159.0,5.0,1407.0,0.11300639658848614
53,2020-03-20,1139.0,120.0,7.0,1259.0,0.09531374106433678
54,2020-03-21,538.0,78.0,4.0,616.0,0.1266233766233766
55,2020-03-22,355.0,74.0,15.0,429.0,0.17249417249417248
56,2020-03-23,1311.0,202.0,9.0,1513.0,0.1335095836087244
57,2020-03-24,1340.0,177.0,9.0,1517.0,0.11667765326301911
58,2020-03-25,1274.0,179.0,9.0,1453.0,0.1231933929800413
59,2020-03-26,1145.0,173.0,15.0,1318.0,0.13125948406676782
60,2020-03-27,1219.0,208.0,9.0,1427.0,0.14576033637000702
61,2020-03-28,670.0,95.0,14.0,765.0,0.12418300653594772
62,2020-03-29,454.0,125.0,8.0,579.0,0.2158894645941278
63,2020-03-30,1405.0,230.0,5.0,1635.0,0.14067278287461774
64,2020-03-31,1277.0,201.0,6.0,1478.0,0.13599458728010824
65,2020-04-01,1315.0,179.0,12.0,1494.0,0.11981258366800536
66,2020-04-02,1243.0,178.0,11.0,1421.0,0.12526389866291343
67,2020-04-03,1265.0,199.0,13.0,1464.0,0.1359289617486339
68,2020-04-04,738.0,95.0,12.0,833.0,0.11404561824729892
69,2020-04-05,500.0,74.0,15.0,574.0,0.1289198606271777
70,2020-04-06,1198.0,162.0,14.0,1360.0,0.11911764705882352
71,2020-04-07,1390.0,190.0,15.0,1580.0,0.12025316455696203
72,2020-04-08,1262.0,143.0,10.0,1405.0,0.10177935943060498
73,2020-04-09,1136.0,159.0,7.0,1295.0,0.12277992277992278
74,2020-04-10,1113.0,132.0,13.0,1245.0,0.10602409638554217
75,2020-04-11,636.0,73.0,11.0,709.0,0.10296191819464035
76,2020-04-12,453.0,36.0,5.0,489.0,0.0736196319018405
77,2020-04-13,1191.0,144.0,8.0,1335.0,0.10786516853932585
78,2020-04-14,1132.0,126.0,5.0,1258.0,0.10015898251192369
79,2020-04-15,1153.0,137.0,5.0,1290.0,0.1062015503875969
80,2020-04-16,1230.0,128.0,13.0,1358.0,0.09425625920471281
81,2020-04-17,1272.0,145.0,8.0,1417.0,0.10232886379675371
82,2020-04-18,749.0,55.0,11.0,804.0,0.06840796019900497
83,2020-04-19,666.0,41.0,12.0,707.0,0.05799151343705799
84,2020-04-20,1315.0,122.0,6.0,1437.0,0.0848990953375087
85,2020-04-21,1205.0,103.0,13.0,1308.0,0.07874617737003058
86,2020-04-22,1402.0,110.0,5.0,1512.0,0.07275132275132275
87,2020-04-23,1355.0,101.0,5.0,1456.0,0.06936813186813187
88,2020-04-24,1472.0,90.0,9.0,1562.0,0.05761843790012804
89,2020-04-25,1213.0,67.0,10.0,1280.0,0.05234375
90,2020-04-26,584.0,44.0,9.0,628.0,0.07006369426751592
91,2020-04-27,1636.0,121.0,6.0,1757.0,0.0688673875924872
92,2020-04-28,1910.0,95.0,5.0,2005.0,0.04738154613466334
93,2020-04-29,1982.0,118.0,5.0,2100.0,0.05619047619047619
94,2020-04-30,1768.0,79.0,4.0,1847.0,0.042772062804547914
95,2020-05-01,1804.0,130.0,7.0,1934.0,0.0672182006204757
96,2020-05-02,947.0,44.0,4.0,991.0,0.044399596367305755
97,2020-05-03,535.0,23.0,4.0,558.0,0.04121863799283154
98,2020-05-04,2315.0,109.0,7.0,2424.0,0.04496699669966997
99,2020-05-05,2199.0,75.0,5.0,2274.0,0.032981530343007916
100,2020-05-06,2013.0,91.0,5.0,2104.0,0.04325095057034221
101,2020-05-07,1768.0,75.0,5.0,1843.0,0.040694519804666304
102,2020-05-08,2111.0,71.0,7.0,2182.0,0.03253895508707608
103,2020-05-09,815.0,49.0,3.0,864.0,0.056712962962962965
104,2020-05-10,310.0,17.0,10.0,327.0,0.05198776758409786
105,2020-05-11,1919.0,83.0,2.0,2002.0,0.041458541458541456
106,2020-05-12,2030.0,72.0,3.0,2102.0,0.03425309229305423
107,2020-05-13,1916.0,83.0,1.0,1999.0,0.0415207603801901
108,2020-05-14,1806.0,68.0,3.0,1874.0,0.03628601921024546
109,2020-05-15,2034.0,76.0,1.0,2110.0,0.03601895734597156
110,2020-05-16,1053.0,27.0,4.0,1080.0,0.025
111,2020-05-17,519.0,17.0,4.0,536.0,0.03171641791044776
112,2020-05-18,2467.0,77.0,0.0,2544.0,0.030267295597484277
113,2020-05-19,2191.0,42.0,4.0,2233.0,0.018808777429467086
114,2020-05-20,1999.0,59.0,4.0,2058.0,0.028668610301263362
115,2020-05-21,1642.0,38.0,4.0,1680.0,0.02261904761904762
116,2020-05-22,1676.0,46.0,2.0,1722.0,0.026713124274099883
117,2020-05-23,908.0,19.0,4.0,927.0,0.020496224379719527
118,2020-05-24,564.0,11.0,3.0,575.0,0.019130434782608695
119,2020-05-25,599.0,13.0,3.0,612.0,0.021241830065359478
120,2020-05-26,2231.0,56.0,1.0,2287.0,0.024486226497595104
121,2020-05-27,2144.0,45.0,6.0,2189.0,0.02055733211512106
122,2020-05-28,1716.0,49.0,1.0,1765.0,0.027762039660056657
123,2020-05-29,1756.0,81.0,4.0,1837.0,0.04409363091997823
124,2020-05-30,1161.0,29.0,1.0,1190.0,0.024369747899159664
125,2020-05-31,635.0,11.0,2.0,646.0,0.017027863777089782
126,2020-06-01,2022.0,42.0,2.0,2064.0,0.020348837209302327
127,2020-06-02,2061.0,53.0,2.0,2114.0,0.025070955534531692
128,2020-06-03,1883.0,54.0,1.0,1937.0,0.027878162106350027
129,2020-06-04,1545.0,34.0,1.0,1579.0,0.021532615579480684
130,2020-06-05,2051.0,35.0,1.0,2086.0,0.016778523489932886
131,2020-06-06,1442.0,19.0,1.0,1461.0,0.013004791238877482
132,2020-06-07,695.0,12.0,2.0,707.0,0.016973125884016973
133,2020-06-08,2765.0,47.0,2.0,2812.0,0.016714082503556188
